N,GPU,CPU,Speedup
3401, 0.000095, 0.000063, 0.663158
3409, 0.000096, 0.000063, 0.656250
3417, 0.000097, 0.000063, 0.649485
3425, 0.000092, 0.000062, 0.673913
3433, 0.000099, 0.000063, 0.636364
3441, 0.000095, 0.000063, 0.663158
3449, 0.000102, 0.000062, 0.607843
3457, 0.000067, 0.000063, 0.940299
3465, 0.000096, 0.000062, 0.645833
3473, 0.000067, 0.000064, 0.955224
3481, 0.000100, 0.000061, 0.610000
3489, 0.000067, 0.000064, 0.955224
3497, 0.000067, 0.000064, 0.955224
3505, 0.000098, 0.000062, 0.632653
3513, 0.000067, 0.000066, 0.985075
3521, 0.000066, 0.000062, 0.939394
3529, 0.000066, 0.000066, 1.000000
3537, 0.000067, 0.000063, 0.940299
3545, 0.000066, 0.000062, 0.939394
3553, 0.000094, 0.000064, 0.680851
3561, 0.000099, 0.000067, 0.676768
3569, 0.000093, 0.000062, 0.666667
3577, 0.000093, 0.000063, 0.677419
3585, 0.000093, 0.000065, 0.698925
3593, 0.000065, 0.000068, 1.046154
3601, 0.000072, 0.000066, 0.916667
3609, 0.000107, 0.000091, 0.850467
3617, 0.000070, 0.000066, 0.942857
3625, 0.000070, 0.000067, 0.957143
3633, 0.000072, 0.000068, 0.944444
3641, 0.000070, 0.000071, 1.014286
3649, 0.000069, 0.000065, 0.942029
3657, 0.000101, 0.000064, 0.633663
3665, 0.000103, 0.000069, 0.669903
3673, 0.000100, 0.000068, 0.680000
3681, 0.000099, 0.000066, 0.666667
3689, 0.000099, 0.000065, 0.656566
3697, 0.000103, 0.000068, 0.660194
3705, 0.000105, 0.000066, 0.628571
3713, 0.000102, 0.000069, 0.676471
3721, 0.000101, 0.000069, 0.683168
3729, 0.000070, 0.000070, 1.000000
3737, 0.000102, 0.000066, 0.647059
3745, 0.000066, 0.000067, 1.015152
3753, 0.000067, 0.000068, 1.014925
3761, 0.000107, 0.000067, 0.626168
3769, 0.000099, 0.000069, 0.696970
